Score	Summary
-0.5833333333333333	Британский электромобильный стартап Arrival, который основал экс-глава телекоммуникационного оператора Yota и бывший замминистра связи Денис Свердлов, намерен прекратить деятельность в России, сообщает Financial Times.
-0.3142857142857143	Экс-председатель совета директоров Новороссийского морского торгового порта (НМТП) рассказал в Хамовническом суде о напряженных отношениях между братьями Магомедовыми. В суде рассматривают иск Генпрокуратуры по изъятию $750 млн.
-0.3333333333333333	Его кандидатуру выдвинули в начале февраля. Как пишет Focus, Шрёдер сообщил, что отказался от предложения давно
0.7	Как стало известно “Ъ”, «Аврора» Андрея Патрушева под новым названием «Газпром шельфпроект» может стать основным подрядчиком «Газпрома» по бурению на шельфе. Под ее управление перейдет нынешний флот плавучих буровых платформ и судов снабжения «Газпром флота». Компания может консолидировать заказы «Газпрома» и НОВАТЭКа по бурению в акватории арктических морей. В «Газпром шельфпроекте» заявили “Ъ”, что рассчитывают стать «специализированным центром инженерно-технических компетенций для выполнения работ на морских месторождениях».
-0.6111111111111112	"Чистый убыток ""Юнипро"" в 1 полугодии 2022 года по РСБУ составил 12,8 млрд рублей против прибыли в размере 7,79 млрд рублей в 1 полугодии 2021 года, сообщила компания. Убыток связан с проведенным в 1 квартале 2022 года обесценением активов в сумме 32 млрд рублей в результате изменения прогноза макроэкономических показателей на фоне геополитической обстановки. Валовая прибыль за 1 полугодие текущего года увеличилась на 60,8% и составила 16,7млрд рублей. В 1 полугодии 2022 года выручка ""Юнипро"" увеличилась на 20,9% по отношению к аналогичному периоду прошлого года и составила 54,7 млрд рублей."
-0.0344827586206896	Чистая прибыль ТГК-2 по РСБУ в 1 полугодии 2022 года сократилась на 41,6% в годовом сопоставлении - до 1,642 млрд рублей, следует из отчетности компании. Выручка снизилась до 22 млрд 869,3 млн рублей  это на 5,3%, чем в аналогичном периоде 2021 года. В 1 квартале 2022 года чистая прибыль составила 2 млрд рублей против 2,6 млрд рублей годом ранее.
0.6818181818181819	"По итогам первого полугодия 2022 года чистая прибыль ""РусГидро"" поРСБУ выросла на 17%, до 34,7 млрд рублей, показатель EBITDA увеличился на 13% до 56,3 млрд рублей, сообщила компания. Выручка без учета надбавки к цене на мощность в I и II ценовых зонах, установленной для достижения на территориях ДФО базовых уровней цен на электроэнергию, за первое полугодие 2022 года составила 82,9 млрд рублей, что на 10% выше показателя за аналогичный период прошлого года. Изменение обусловлено началом реализации с 1 марта 2022 года электрической энергии Нижне-Бурейской ГЭС, ростом выработки электроэнергии гидроэлектростанциями в ряде макрорегионов России, а также ростом цен РСВ во II ценовой зоне, что позволило компенсировать падение выработки на фоне низкой водности в реках Сибири. Стоимость активов компании по итогамI полугодия увеличилась на 20,1 млрд рублей, до 1 056,6 млрд рублей. Собственный капитал вырос на 1% до 838,8 млрд рублей. Размер кредитного портфеля ""РусГидро"" уменьшился по сравнению с показателем на 31 декабря 2021 года на 14% и составил 98,3 млрд рублей, из которых долгосрочные заемные средства составляют около 50%."
-0.411764705882353	Компания пришла на российский рынок в 2005 году. Свои активы в России и Белоруссии она оценивает в €400 млн
-0.7142857142857142	Финская Gasum объявила, что не будет платить за российский газ в рублях, и готовится к остановкам поставок из РФ. В результате Финляндия может присоединиться к Польше и Болгарии, которым «Газпром» прекратил поставки в апреле. Gasum при этом собирается перенести в арбитраж прошлогодний спор с «Газпромом» по условиям долгосрочного контракта. Тем временем крупнейшие клиенты «Газпрома» в Германии и Италии начали открывать счета в Газпромбанке, чтобы платить за российский газ по новым условиям.
-0.0256410256410256	После ухода с поста, который Федун занимал более 25 лет, бизнесмен останется акционером компании. Ранее в отставку ушел и президент ЛУКОЙЛа Алекперов
-0.4666666666666666	Леонид Федун покинул должность вице-президента ЛУКОЙЛа, сообщили в пресс-службе компании.
-0.1999999999999999	Леонид Федун покинул должность вице-президента ЛУКОЙЛа, сообщили в пресс-службе компании.
0.375	Федеральная антимонопольная служба (ФАС) одобрила сделку по покупке производителем сыра «Мультипро» компании «Вимм-Билль-Данн Напитки», сообщает в Telegram-канале ведомства.
